n_samples,n_features,corr_level,constraints,simulation,method,train_rmse,test_rmse,train_r2,test_r2,coef_rmse,coef_mae,run_time,coef_0,coef_1,coef_2,coef_3,true_coef_0,true_coef_1,true_coef_2,true_coef_3,error,sign_correct,true_coef_abs_error
20,4,0.0,correct,0,OLS,0.8964789720927554,1.1828808201248084,0.9900386647545873,0.9211613221825206,0.18825640667734547,0.16837507771492488,0.00802922248840332,3.6084429332233445,-4.45974960866001,4.317296396285685,-3.7054466186004937,3.644894766590334,-4.260678240005621,4.147763775349428,-3.43700213069843,,1.0,0
20,4,0.0,correct,0,Ridge,0.8964789720927554,1.1828808201248084,0.9900386647545873,0.9211613221825206,0.18825640667734547,0.16837507771492488,0.005965709686279297,3.6084429332233445,-4.45974960866001,4.317296396285685,-3.7054466186004937,3.644894766590334,-4.260678240005621,4.147763775349428,-3.43700213069843,,1.0,0
20,4,0.0,correct,0,Lasso,0.8964789720927554,1.1828808201248084,0.9900386647545873,0.9211613221825206,0.18825640667734547,0.16837507771492488,0.005034446716308594,3.6084429332233445,-4.45974960866001,4.317296396285685,-3.7054466186004937,3.644894766590334,-4.260678240005621,4.147763775349428,-3.43700213069843,,1.0,0
20,4,0.0,correct,0,ElasticNet,,,,,,,,,,,,,,,,name 'ElasticNet' is not defined,0.0,0
20,4,0.0,correct,0,ConstrainedRegression,0.8964789720927557,1.1828808201248113,0.9900386647545872,0.9211613221825202,0.18825640667734478,0.16837507771492488,0.009967327117919922,3.608442933223344,-4.459749608660011,4.3172963962856885,-3.705446618600489,3.644894766590334,-4.260678240005621,4.147763775349428,-3.43700213069843,,1.0,0
20,4,0.0,correct,0,ConstrainedRidgeRegression,,,,,,,,,,,,,,,,"Parameter grid for parameter 'l1_ratio' needs to be a list or a numpy array, but got 0.0 (of type float) instead. Single values need to be wrapped in a list with one element.",0.0,0
20,4,0.0,correct,0,ConstrainedLassoRegression,,,,,,,,,,,,,,,,"Parameter grid for parameter 'l1_ratio' needs to be a list or a numpy array, but got 1.0 (of type float) instead. Single values need to be wrapped in a list with one element.",0.0,0
20,4,0.0,correct,0,ConstrainedElasticNetRegression,0.9008716242537821,1.1878271691103781,0.9899408066146593,0.9205005980491675,0.16381125434671928,0.1550296178230237,0.9268240928649902,3.5510712290961317,-4.419399278400703,4.277764109034681,-3.674575692415987,3.644894766590334,-4.260678240005621,4.147763775349428,-3.43700213069843,,1.0,0
20,4,0.3,none,0,OLS,0.896478972092756,1.1828808201247976,0.9678068888524569,0.9314136857958063,0.22434244936006556,0.199673645342891,0.0072443485260009766,3.452058793241405,-4.440744617961764,4.217378674483096,-3.0808247997656064,3.644894766590334,-4.260678240005621,4.147763775349428,-3.43700213069843,,1.0,0
20,4,0.3,none,0,Ridge,0.896478972092756,1.1828808201247976,0.9678068888524569,0.9314136857958063,0.22434244936006556,0.199673645342891,0.006192207336425781,3.452058793241405,-4.440744617961764,4.217378674483096,-3.0808247997656064,3.644894766590334,-4.260678240005621,4.147763775349428,-3.43700213069843,,1.0,0
