index,year,period,periodName,value,footnotes,series_title,series_id,seasonality,survey_name,survey_abbreviation,measure_data_type,area,item,commerce_industry,latest,BY,BY_VALUE
16,1995,M13,Annual,137.3,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.5654859967051071
17,1994,M13,Annual,134.0,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.5518945634266886
18,1993,M13,Annual,130.1,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.535831960461285
19,1992,M13,Annual,126.6,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.5214168039538715
20,1991,M13,Annual,122.3,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.5037067545304778
21,1990,M13,Annual,117.7,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.4847611202635914
22,1989,M13,Annual,112.1,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.46169686985172975
23,1988,M13,Annual,105.5,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.43451400329489287
24,1987,M13,Annual,102.8,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.4233937397034596
25,1986,M13,Annual,102.8,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.4233937397034596
26,1995,M13,Annual,135.0,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.5681818181818182
27,1994,M13,Annual,133.0,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.5597643097643098
28,1993,M13,Annual,129.9,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.5467171717171717
29,1992,M13,Annual,125.7,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.5290404040404041
